,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
79,Artesia,33.866895999126264,-118.08010100000016,Jack in the Box,33.8659695,-118.0825216,Fast Food Restaurant
80,Artesia,33.866895999126264,-118.08010100000016,Sona Sari Palace,33.86573553992594,-118.08238273159506,Boutique
81,Artesia,33.866895999126264,-118.08010100000016,Kim Tar Restaurant,33.86522794730027,-118.08308245444182,Chinese Restaurant
82,Artesia,33.866895999126264,-118.08010100000016,Quickly,33.86466052402423,-118.08321838163432,Tea Room
83,Artesia,33.866895999126264,-118.08010100000016,Biriyani Factory,33.863287808560756,-118.08223043923613,Indian Restaurant
84,Artesia,33.866895999126264,-118.08010100000016,Cafe D.Er,33.86769,-118.083016,Café
85,Artesia,33.866895999126264,-118.08010100000016,Myung Dong Tofu & Bbq,33.870372,-118.082867,Korean Restaurant
86,Altadena,34.19387050223217,-118.13623898201557,Rite Aid,34.1908834,-118.1325002,Pharmacy
87,Altadena,34.19387050223217,-118.13623898201557,Urban Foodie Hippy Heaven (aka Altadena),34.19632844578556,-118.13803763130394,Garden
88,Altadena,34.19387050223217,-118.13623898201557,Camp Mariposa,34.190156,-118.13668100000001,Campground
89,Altadena,34.19387050223217,-118.13623898201557,Kaeli's Essential Oil Soap,34.192279,-118.141153,Food
90,Altadena,34.19387050223217,-118.13623898201557,Pastries By Nancy,34.190872,-118.132319,Bakery
91,Arcadia,34.13322999912302,-118.03041899311201,Santa Anita Golf Course,34.13550501844585,-118.03209417207968,Golf Course
92,Arcadia,34.13322999912302,-118.03041899311201,85°C Bakery Cafe,34.129661,-118.028648,Bakery
93,Arcadia,34.13322999912302,-118.03041899311201,Spices Thai Kitchen,34.135403097153606,-118.02817750144426,Thai Restaurant
94,Arcadia,34.13322999912302,-118.03041899311201,Taco Lita,34.13000287927428,-118.02706421541293,Mexican Restaurant
95,Arcadia,34.13322999912302,-118.03041899311201,El Pollo Loco,34.13012,-118.031548,Fast Food Restaurant
96,Arcadia,34.13322999912302,-118.03041899311201,Arcadia High School Stadium,34.130380531384866,-118.03455111112234,Football Stadium
97,Arcadia,34.13322999912302,-118.03041899311201,Honeyboba,34.12965791404651,-118.03163443667933,Bubble Tea Shop
98,Arcadia,34.13322999912302,-118.03041899311201,Bento-Ya,34.13479709276982,-118.02804866167858,Japanese Restaurant
99,Arcadia,34.13322999912302,-118.03041899311201,Sharetea,34.12997636570984,-118.02893701038256,Bubble Tea Shop
100,Arcadia,34.13322999912302,-118.03041899311201,Quick Fit Tailor,34.133924,-118.02848999999999,Clothing Store
101,Arcadia,34.13322999912302,-118.03041899311201,Hatrack Liquor,34.134865,-118.028252,Convenience Store
102,Arcadia,34.13322999912302,-118.03041899311201,CrossFit Reason,34.13087438682054,-118.03145380201452,Gym
103,Arcadia,34.13322999912302,-118.03041899311201,West Coast Elite Gymnastics,34.13030514100192,-118.03100356841844,Gymnastics Gym
104,Arcadia,34.13322999912302,-118.03041899311201,Amily Beauty Salon,34.12995675,-118.02948,Cosmetics Shop
105,Arcadia,34.13322999912302,-118.03041899311201,Roma Pizzeria,34.129918813705444,-118.02957038333334,Italian Restaurant
106,Arcadia,34.13322999912302,-118.03041899311201,My Place Convenience,34.129996999999996,-118.031678,Convenience Store
107,Arcadia,34.13322999912302,-118.03041899311201,May's Cafe,34.129864904131594,-118.02967757013883,Chinese Restaurant
108,Arcadia,34.13322999912302,-118.03041899311201,My Grill N Pot,34.129969,-118.029191,Hotpot Restaurant
109,Arcadia,34.13322999912302,-118.03041899311201,Yoshantea tea house,34.129588,-118.029963,Tea Room
110,Arcadia,34.13322999912302,-118.03041899311201,Saute' Culinary Academy,34.129452185410045,-118.03050467783657,Food & Drink Shop
111,Arcadia,34.13322999912302,-118.03041899311201,Mo Mo Paradise,34.129667,-118.028536,Shabu-Shabu Restaurant
112,Arcadia,34.13322999912302,-118.03041899311201,Giambrone Field,34.13024603397161,-118.03346066831304,Baseball Field
113,Arcadia,34.13322999912302,-118.03041899311201,Arcadia Fitness Sports Club,34.12946464041536,-118.02867070335901,Gym
114,Arleta,34.24309999912158,-118.4307575,Back To The Future Filming Location - McFly's House,34.24342916029899,-118.43365500466447,Historic Site
115,Arleta,34.24309999912158,-118.4307575,Redbox,34.242081,-118.426109,Video Store
116,Arleta,34.24309999912158,-118.4307575,7-Eleven,34.2415880898036,-118.42610746622,Convenience Store
117,Arleta,34.24309999912158,-118.4307575,Yummy Donuts & Croissants,34.24234440756616,-118.42615934048577,Bakery
118,Arlington Heights,34.04491049912405,-118.3234085,Das Bunker,34.04780982960745,-118.32411581665352,Nightclub
119,Arlington Heights,34.04491049912405,-118.3234085,Union Nightclub,34.04773635136594,-118.32419341054482,Music Venue
120,Arlington Heights,34.04491049912405,-118.3234085,La Cevicheria,34.047653669978864,-118.32281032054662,Latin American Restaurant
121,Arlington Heights,34.04491049912405,-118.3234085,Gus's World Famous Fried Chicken,34.04794610021919,-118.32647178177311,Fried Chicken Joint
122,Arlington Heights,34.04491049912405,-118.3234085,Jeju Sushi 제주활어,34.04748856,-118.32491228,Sushi Restaurant
123,Arlington Heights,34.04491049912405,-118.3234085,The Grain Cafe,34.047713241983026,-118.32760077493121,Vegetarian / Vegan Restaurant
124,Arlington Heights,34.04491049912405,-118.3234085,Cafe Dabang,34.047407,-118.31908200000001,Café
125,Arlington Heights,34.04491049912405,-118.3234085,Catch One,34.04780779908236,-118.32414108861353,Karaoke Bar
126,Arlington Heights,34.04491049912405,-118.3234085,Dunkin',34.04426500099705,-118.32814493249076,Donut Shop
127,Arlington Heights,34.04491049912405,-118.3234085,7-Eleven,34.0443521594041,-118.326641768217,Convenience Store
128,Arlington Heights,34.04491049912405,-118.3234085,Ham Ji Park,34.047894521878035,-118.32578682004299,Korean Restaurant
129,Arlington Heights,34.04491049912405,-118.3234085,El Baron De Centro America,34.04771712925697,-118.32713251202725,Latin American Restaurant
130,Arlington Heights,34.04491049912405,-118.3234085,Jay's Market,34.04661209164098,-118.32366870284783,Grocery Store
131,Arlington Heights,34.04491049912405,-118.3234085,Liquor (Store),34.04371120123424,-118.32146657923782,Liquor Store
132,Arlington Heights,34.04491049912405,-118.3234085,Global Hardwood,34.04296278860498,-118.32253968601685,Home Service
133,Arlington Heights,34.04491049912405,-118.3234085,Puerto La Union,34.047662,-118.32283999999999,Food
134,Arlington Heights,34.04491049912405,-118.3234085,Ground Control,34.04767919299605,-118.32394211769072,Karaoke Bar
135,Arlington Heights,34.04491049912405,-118.3234085,hanmijung resturant,34.04755401611328,-118.3248062133789,Korean Restaurant
136,Arlington Heights,34.04491049912405,-118.3234085,Vegan Village,34.047825,-118.324058,Vegetarian / Vegan Restaurant
137,Arlington Heights,34.04491049912405,-118.3234085,Village Health,34.048096,-118.324355,Pharmacy
138,Arlington Heights,34.04491049912405,-118.3234085,"Restaurant No ""Q"" No",34.043484859978214,-118.31971991218145,Mexican Restaurant
139,Arlington Heights,34.04491049912405,-118.3234085,La Pizza Loca,34.047447,-118.32039817,Pizza Place
140,Arlington Heights,34.04491049912405,-118.3234085,Nam Won Gol,34.047553,-118.320399,Korean Restaurant
141,Arlington Heights,34.04491049912405,-118.3234085,Louisiana Pico Seafood,34.04753749676108,-118.32007952157649,Seafood Restaurant
142,Arlington Heights,34.04491049912405,-118.3234085,Crenshaw & Pico,34.04787036474227,-118.32648350125781,Intersection
143,Arlington Heights,34.04491049912405,-118.3234085,Metro Bus Stop Line 33 & 733,34.04451786757045,-118.32852156092414,Bus Station
144,Arlington Heights,34.04491049912405,-118.3234085,Crenshaw & Venice Blvd,34.044396855879505,-118.32854175607322,Intersection
145,Arlington Heights,34.04491049912405,-118.3234085,Zapoteca,34.047545,-118.327729,Mexican Restaurant
146,Arlington Heights,34.04491049912405,-118.3234085,China Wok,34.045147,-118.32876399999999,Chinese Restaurant
147,Arlington Heights,34.04491049912405,-118.3234085,ET Donuts (Extra Terrific),34.04493973,-118.32881153,Bakery
148,Atwater Village,34.13106635675918,-118.26237347966236,Glendale Tap,34.1306214,-118.2612831,Bar
149,Atwater Village,34.13106635675918,-118.26237347966236,El Sauz Tacos,34.13331186337312,-118.2622064643093,Taco Place
150,Atwater Village,34.13106635675918,-118.26237347966236,Dinah's Fried Chicken,34.12926885390284,-118.25985345213046,Fried Chicken Joint
151,Atwater Village,34.13106635675918,-118.26237347966236,Victoria's Tacos & Grill,34.12995837160706,-118.26040829020208,Taco Place
152,Atwater Village,34.13106635675918,-118.26237347966236,Viva Taco Azteca,34.1275648051472,-118.26510182316818,Food Truck
153,Atwater Village,34.13106635675918,-118.26237347966236,Costco,34.12855693194836,-118.26392730744041,Warehouse Store
154,Atwater Village,34.13106635675918,-118.26237347966236,Renaissance Restaurant,34.13106595906939,-118.25767327900226,Mediterranean Restaurant
155,Atwater Village,34.13106635675918,-118.26237347966236,Jamba Juice,34.126824,-118.263407,Juice Bar
156,Atwater Village,34.13106635675918,-118.26237347966236,Costco Food Court,34.128528588491186,-118.26390032403435,Food Court
157,Atwater Village,34.13106635675918,-118.26237347966236,Chase Bank,34.12699,-118.262741,Bank
158,Atwater Village,34.13106635675918,-118.26237347966236,Papillon International Bakery,34.1332321872499,-118.25763592609461,Bakery
159,Atwater Village,34.13106635675918,-118.26237347966236,Starbucks,34.129278078347255,-118.2586590041401,Coffee Shop
160,Atwater Village,34.13106635675918,-118.26237347966236,U.S. Bank ATM,34.129325271976214,-118.25878700637197,ATM
161,Atwater Village,34.13106635675918,-118.26237347966236,Baskin-Robbins,34.133255,-118.257745,Ice Cream Shop
162,Atwater Village,34.13106635675918,-118.26237347966236,T-Mobile,34.1267379561233,-118.26326116919518,Mobile Phone Shop
163,Atwater Village,34.13106635675918,-118.26237347966236,Pizza Hut,34.13003687840127,-118.25809874455445,Pizza Place
164,Atwater Village,34.13106635675918,-118.26237347966236,Carl's Jr.,34.1276946137421,-118.26000422701838,Fast Food Restaurant
165,Atwater Village,34.13106635675918,-118.26237347966236,Best Buy,34.127799,-118.265318,Electronics Store
166,Atwater Village,34.13106635675918,-118.26237347966236,VONS,34.1294284739676,-118.25864030995945,Grocery Store
167,Atwater Village,34.13106635675918,-118.26237347966236,Baskin-Robbins,34.126665713073855,-118.26338948074654,Ice Cream Shop
168,Atwater Village,34.13106635675918,-118.26237347966236,CVS pharmacy,34.12811574457647,-118.25934019431668,Pharmacy
169,Atwater Village,34.13106635675918,-118.26237347966236,La Azteca Restaurant,34.133568,-118.265946,Mexican Restaurant
170,Avalon,33.33695449913309,-118.32733223477571,The Sandtrap,33.33897206607412,-118.33026188820355,Mexican Restaurant
171,Avalon,33.33695449913309,-118.32733223477571,Avalon Kids' Park Playground,33.34019831678657,-118.32907521614092,Playground
172,Avalon,33.33695449913309,-118.32733223477571,Catalina Country Club,33.34002654601208,-118.32973823749114,American Restaurant
173,Avalon,33.33695449913309,-118.32733223477571,Catalina Island Golf Course,33.33949860680172,-118.33110314334957,Golf Course
174,Avocado Heights,34.040881003821966,-118.0012614768012,Dollar Tree,34.039784000000004,-117.997721,Discount Store
175,Avocado Heights,34.040881003821966,-118.0012614768012,Grocery Outlet Bargain Market,34.03989871314914,-117.997866878255,Market
176,Avocado Heights,34.040881003821966,-118.0012614768012,Jack in the Box,34.040774,-117.9980689,Fast Food Restaurant
177,Avocado Heights,34.040881003821966,-118.0012614768012,Juan Pollo,34.040985,-117.998897,Mexican Restaurant
178,Avocado Heights,34.040881003821966,-118.0012614768012,Mr. Taco,34.04087837347496,-117.99871752000077,Taco Place
179,Avocado Heights,34.040881003821966,-118.0012614768012,Guadalajara Bakery,34.039856138300955,-117.99866605210116,Bakery
180,Avocado Heights,34.040881003821966,-118.0012614768012,Little Beijing,34.03960646,-117.99868622,Fast Food Restaurant
181,Avocado Heights,34.040881003821966,-118.0012614768012,Pizza Kitchen & Deli,34.03933,-117.99860100000001,Pizza Place
182,Avocado Heights,34.040881003821966,-118.0012614768012,albert's mexican food,34.040403999999995,-117.997724,Mexican Restaurant
183,Avocado Heights,34.040881003821966,-118.0012614768012,Chef's Coffee Shop,34.04040936987765,-117.99769431352615,Diner
184,Avocado Heights,34.040881003821966,-118.0012614768012,Albertos,34.040387,-117.997563,Mexican Restaurant
185,Avocado Heights,34.040881003821966,-118.0012614768012,Cork n' Bottle Liquor,34.039784000000004,-117.997721,Liquor Store
186,Azusa,34.13746999912302,-117.9124685,Target,34.136113241974336,-117.90783153419643,Big Box Store
187,Azusa,34.13746999912302,-117.9124685,Valley Thrift Store,34.13400622797749,-117.91563256699001,Thrift / Vintage Store
188,Azusa,34.13746999912302,-117.9124685,Canyon City Liquor,34.133368134498596,-117.91204763333333,Liquor Store
189,Azusa,34.13746999912302,-117.9124685,Target,34.136372,-117.908107,Big Box Store
190,Azusa,34.13746999912302,-117.9124685,Starbucks,34.13567,-117.9075,Coffee Shop
191,Azusa,34.13746999912302,-117.9124685,Pizza Hut Express,34.13642876620996,-117.90817558765411,Pizza Place
192,Azusa,34.13746999912302,-117.9124685,Target,34.13623046875,-117.90785217285156,Pharmacy
193,Azusa,34.13746999912302,-117.9124685,A to Z Liquor & Delicatessen,34.138726730235085,-117.9073493479586,Liquor Store
194,Vermont-Slauson,33.98391399912471,-118.29035750000013,Fred's Burger #2,33.98634496169696,-118.29124433904603,Burger Joint
195,Vermont-Slauson,33.98391399912471,-118.29035750000013,Superior Grocers,33.98829308726976,-118.28997708860268,Grocery Store
196,Vermont-Slauson,33.98391399912471,-118.29035750000013,Ross Dress for Less,33.98775,-118.29147,Clothing Store
197,Vermont-Slauson,33.98391399912471,-118.29035750000013,T-Mobile,33.9878175,-118.2897163,Mobile Phone Shop
198,Vermont-Slauson,33.98391399912471,-118.29035750000013,SUBWAY,33.98795184124301,-118.29118865796931,Sandwich Place
199,Vermont-Slauson,33.98391399912471,-118.29035750000013,ACE Cash Express,33.983149,-118.29113000000001,Check Cashing Service
200,Vermont-Slauson,33.98391399912471,-118.29035750000013,Hong Kong Bowl & Louisiana Fried Chicken,33.98790144398384,-118.28989822159322,Chinese Restaurant
201,Baldwin Hills/Crenshaw,34.01197027055953,-118.35774600000003,Norstroms,34.01457769547102,-118.3612583024042,Clothing Store
202,Baldwin Hills/Crenshaw,34.01197027055953,-118.35774600000003,Jim Gillian Park,34.012459113332945,-118.35294345201196,Park
203,Baldwin Hills/Crenshaw,34.01197027055953,-118.35774600000003,Highland Appliance Repair,34.00812894751128,-118.35629057139158,Home Service
204,Baldwin Park,34.08110949912369,-117.97519050000021,Komodo Food Truck,34.0820340413038,-117.97902710381031,Food Truck
205,Baldwin Park,34.08110949912369,-117.97519050000021,El Jacal Restaurant,34.08155849,-117.980161,Mexican Restaurant
206,Baldwin Park,34.08110949912369,-117.97519050000021,Goodwill,34.082052,-117.977173,Thrift / Vintage Store
207,Baldwin Park,34.08110949912369,-117.97519050000021,Ramona Liquor & Market,34.08366748982441,-117.97287677564096,Liquor Store
208,Baldwin Park,34.08110949912369,-117.97519050000021,El Llano,34.08298346,-117.97382252,Latin American Restaurant
209,Baldwin Park,34.08110949912369,-117.97519050000021,Metro Manila,34.083671760241145,-117.97186069409962,Grocery Store
210,Baldwin Park,34.08110949912369,-117.97519050000021,El Appetiz,34.07944046648008,-117.97035997478429,Italian Restaurant
211,Bel-Air,34.10205699912334,-118.45841550000007,The Horrible Bakery,34.10373931388594,-118.45486181003396,Bakery
212,Bel-Air,34.10205699912334,-118.45841550000007,NFL Football,34.104168987094184,-118.4549359554708,Football Stadium
213,Bel-Air,34.10205699912334,-118.45841550000007,savona road 18035,34.0990348310682,-118.46077623051512,Dive Bar
214,Bel-Air,34.10205699912334,-118.45841550000007,All Garage Door Repair Bel Air,34.098131,-118.458203,Home Service
215,Bellflower,33.88801349912606,-118.12903150000015,Jersey Mike's Subs,33.88860045127235,-118.12583962610154,Sandwich Place
216,Bellflower,33.88801349912606,-118.12903150000015,WaBa Grill,33.88955781077699,-118.12491177781959,Fast Food Restaurant
217,Bellflower,33.88801349912606,-118.12903150000015,Albert's Mexican Food,33.88954557489535,-118.12872389482557,Mexican Restaurant
218,Bellflower,33.88801349912606,-118.12903150000015,Smart & Final Extra!,33.8883144785956,-118.12416517120262,Grocery Store
219,Bellflower,33.88801349912606,-118.12903150000015,Omega Burgers,33.88638486962061,-118.1252037430858,Burger Joint
220,Bellflower,33.88801349912606,-118.12903150000015,SUBWAY,33.889657570432654,-118.12491217035853,Sandwich Place
221,Bellflower,33.88801349912606,-118.12903150000015,T-Mobile,33.88862410279607,-118.12582612037659,Mobile Phone Shop
222,Bellflower,33.88801349912606,-118.12903150000015,Rite Aid,33.888714,-118.123989,Pharmacy
223,Bellflower,33.88801349912606,-118.12903150000015,Ralphs,33.88765587109094,-118.12641353937579,Supermarket
224,Bellflower,33.88801349912606,-118.12903150000015,Panda Express,33.88875961166231,-118.12558042946094,Chinese Restaurant
225,Bellflower,33.88801349912606,-118.12903150000015,GameStop,33.88880340242258,-118.12564190672693,Video Game Store
226,Bellflower,33.88801349912606,-118.12903150000015,Round Table Pizza,33.89067051537231,-118.12492846432514,Pizza Place
227,Bellflower,33.88801349912606,-118.12903150000015,Little Caesars Pizza,33.88873971171476,-118.12565950456717,Pizza Place
228,Bellflower,33.88801349912606,-118.12903150000015,Bellflower Carpet Cleaning Experts,33.891203999999995,-118.13209099999999,Clothing Store
229,Bell Gardens,33.965685999125014,-118.14993600000021,El Picante,33.96677222568127,-118.15288783095802,Mexican Restaurant
230,Bell Gardens,33.965685999125014,-118.14993600000021,Pioneer Chicken,33.96594173856417,-118.15206699023055,Fried Chicken Joint
231,Bell Gardens,33.965685999125014,-118.14993600000021,El Coraloense,33.96245603327612,-118.14790222785804,Seafood Restaurant
232,Bell Gardens,33.965685999125014,-118.14993600000021,Jack in the Box,33.96483181659624,-118.15132856369019,Fast Food Restaurant
233,Bell Gardens,33.965685999125014,-118.14993600000021,Bank of America ATM,33.96455689707067,-118.15063191428374,ATM
234,Bell Gardens,33.965685999125014,-118.14993600000021,Pupuseria Comalapa,33.965817,-118.152731,Latin American Restaurant
235,Bell Gardens,33.965685999125014,-118.14993600000021,Circle K,33.9697961,-118.1487029,Convenience Store
236,Bell Gardens,33.965685999125014,-118.14993600000021,bell gardens skate park,33.96614074707031,-118.14642333984375,Park
